UWI,START_DATE,OIL,GAS,WATER
TF770,2008-02-01,43455,21617,3039
AB456,2008-02-01,19602,19299,0
CC374,2008-02-01,33928,21238,528
RK854,2008-02-01,24289,17323,3350
TF695,2008-02-01,43692,28061,6723
TR400,2008-02-01,45021,20133,774
CC627,2008-02-01,16094,8549,829
DS652,2008-02-01,59026,61865,2646
CC865,2008-02-01,34802,27480,21716
AB735,2008-02-01,40365,20753,6378
DS546,2008-02-01,26958,16252,0
BR832,2008-02-01,17697,15122,15
YP768,2008-02-01,22816,15590,6251
ON804,2008-02-01,42666,25555,47
YP821,2008-02-01,44058,18794,0
RK279,2008-02-01,48184,24936,1475
AB119,2008-02-01,63117,59330,2304
YP166,2008-02-01,41837,10324,10431
TF172,2008-02-01,33989,24150,1107
CC464,2008-02-01,25786,18365,36186
ON442,2008-02-01,36716,33280,115
RK539,2008-02-01,29588,26813,96
BR264,2008-02-01,38493,45246,871
TF381,2008-02-01,8694,2397,491
YP468,2008-02-01,24430,11262,27
CC782,2008-02-01,16270,10199,371
TF719,2008-02-01,69929,41200,1352
RK375,2008-02-01,37299,19073,104
TR235,2008-02-01,7846,5394,449
CC643,2008-02-01,42334,18875,285
ON765,2008-02-01,44717,35055,35
TR382,2008-02-01,19600,11514,3348
CC669,2008-02-01,38722,22981,37
DS887,2008-02-01,83116,40086,6939
AB344,2008-02-01,24699,23430,882
TF740,2008-02-01,30184,18823,920
YP229,2008-02-01,29753,12276,189
ON333,2008-02-01,24230,15286,1188
YP220,2008-02-01,34936,23637,951
TF149,2008-02-01,42897,35259,1893
CC565,2008-02-01,43646,25518,882
RK302,2008-02-01,30906,17391,64
TR387,2008-02-01,53532,32778,43
DS241,2008-02-01,35104,16114,221
BR710,2008-02-01,44934,20906,95
ON463,2008-02-01,24187,24399,144
ON848,2008-02-01,50630,32488,0
YP203,2008-02-01,7092,2301,225
RK453,2008-02-01,28708,20111,104
TF277,2008-02-01,65276,34818,4718
DS775,2008-02-01,38171,17187,0
TF585,2008-02-01,38527,21024,39
DS773,2008-02-01,62889,50390,0
TF277,2008-02-01,28182,14854,476
YP693,2008-02-01,41087,17501,4633
TF533,2008-02-01,50168,49629,1429
ON316,2008-02-01,35153,14942,35
ON231,2008-02-01,45063,28490,7437
AB456,2008-02-01,30337,36404,1834
TR382,2008-02-01,27908,23275,9653
TR843,2008-02-01,21444,23261,5547
CC766,2008-02-01,35551,22338,3701
ON820,2008-02-01,42739,23435,9916
BR312,2008-02-01,18295,37540,57417
CC782,2008-02-01,57116,50044,849
YP174,2008-02-01,1973,1214,92
RK403,2008-02-01,26327,11827,0
YP647,2008-02-01,9351,1862,473
TF410,2008-02-01,35147,21432,75
BR430,2008-02-01,24249,26057,0
TR336,2008-02-01,21314,18203,0
TF696,2008-02-01,74210,30456,3654
BR273,2008-02-01,61061,49175,10721
TR507,2008-02-01,50058,32733,10371
AB119,2008-02-01,19118,19542,582
ON506,2008-02-01,53445,40815,1605
