UWI,START_DATE,OIL,GAS,WATER
CC504,1974-12-01,693095,463100,0
TF740,1974-12-01,188368,157940,0
AB494,1974-12-01,537022,388500,0
TF809,1974-12-01,15750,0,0
ON397,1974-12-01,271525,185300,0
TF695,1974-12-01,561361,286841,0
ON828,1974-12-01,15900,0,0
RK404,1974-12-01,5100,0,0
TF740,1974-12-01,250674,240890,0
TR758,1974-12-01,667107,440640,0
BR812,1974-12-01,12960,0,0
TR791,1974-12-01,16817,10000,0
CC782,1974-12-01,642183,276800,0
YP676,1974-12-01,129788,102960,0
TF267,1974-12-01,363188,228000,0
BR704,1974-12-01,625376,439920,0
TF359,1974-12-01,96619,49590,0
BR518,1974-12-01,17100,0,0
YP181,1974-12-01,187181,99510,0
BR312,1974-12-01,234411,130000,0
TF335,1974-12-01,640235,293190,0
ON369,1974-12-01,43624,32400,0
CC482,1974-12-01,251491,130240,0
RK345,1974-12-01,717104,385120,0
AB257,1974-12-01,84573,42720,0
BR710,1974-12-01,714021,598410,0
BR819,1974-12-01,241605,144690,0
TF267,1975-01-01,516952,318780,0
TF143,1975-01-01,16556,13440,0
CC782,1975-01-01,95191,63800,0
DS755,1975-01-01,13395,0,0
TR758,1975-01-01,512478,383760,0
AB742,1975-01-01,23708,0,0
YP676,1975-01-01,102757,75400,0
TF695,1975-01-01,616703,343561,0
RK403,1975-01-01,64293,42780,0
AB257,1975-01-01,163188,88200,0
TF740,1975-01-01,103428,77050,0
CC636,1975-01-01,116283,67320,0
BR461,1975-01-01,13158,0,0
ON397,1975-01-01,100652,72720,0
DS556,1975-01-01,11143,0,0
BR819,1975-01-01,336144,224280,0
BR710,1975-01-01,122514,62370,0
TF740,1975-01-01,310434,203300,0
BR697,1975-01-01,9839,0,0
RK345,1975-01-01,84664,77220,0
CC482,1975-02-01,123413,97520,0
AB494,1975-02-01,141883,87220,0
RK403,1975-02-01,97288,66340,0
CC504,1975-02-01,124629,102300,0
TR791,1975-02-01,63753,33660,0
YP181,1975-02-01,160076,89180,0
CC633,1975-02-01,14225,0,0
TF695,1975-02-01,355946,246656,0
BR312,1975-02-01,19951,14700,0
AB257,1975-02-01,219717,150360,0
YP676,1975-02-01,211070,112560,0
YP570,1975-02-01,116028,95460,0
ON369,1975-02-01,175924,140400,0
ON394,1975-02-01,157888,92430,0
BR819,1975-02-01,85453,59200,0
RK345,1975-02-01,367245,235980,0
TF740,1975-02-01,13954,11200,0
YP570,1975-03-01,621969,457600,0
CC636,1975-03-01,243582,220350,0
DS652,1975-03-01,54257,37350,0
AB257,1975-03-01,20333,15470,0
ON397,1975-03-01,173632,166600,0
RK345,1975-03-01,148970,72250,0
TF695,1975-03-01,587558,517799,0
TR758,1975-03-01,282723,190920,0
TF335,1975-03-01,482660,348840,0
